"RecordIDS","AverageConsistency","Latitude-Consistency","Latitude-Values","Country-Consistency","Country-Values","Magnitude-Consistency","Magnitude-Values","Depth-Consistency","Depth-Values","Time-Consistency","Time-Values","Date-Consistency","Date-Values","TotalDamages-Consistency","TotalDamages-Values","Longitude-Consistency","Longitude-Values","Deaths-Consistency","Deaths-Values"
"File1_4919+File2_14045","1.0","1.0","{120.736|120.736}","1.0","{TAIWAN|TAIWAN}","1.0","{5.7|5.7}","1.0","{13.0|12.6}","1.0","{04:51:14|04:51:15}","1.0","{1998-07-17|1998-07-17}",,,"1.0","{23.407|23.407}","1.0","{5.0}"
"File1_4079+File2_2037","1.0","1.0","{143.5|143.416}","1.0","{JAPAN|JAPAN}","1.0","{7.3|7.1}","1.0","{51.0|54.8}","1.0","{07:24:56|07:24:58}","1.0","{1971-08-02|1971-08-02}",,,"1.0","{41.4|41.415}",,
"File1_5364+File2_18227","1.0","1.0","{126.282|126.282}","1.0","{INDONESIA|INDONESIA}","1.0","{7.5|7.5}","1.0","{22.0|22.0}","1.0","{11:27:45|11:27:45}","1.0","{2007-01-21|2007-01-21}",,,"1.0","{1.065|1.065}","1.0","{4.0}"
"File1_5683+File2_21092+File3_1146","0.8333333333333334","0.6666666666666666","{-99.963|-99.789|-99.789}","1.0","{MEXICO|MEXICO|MEXICO}","0.6666666666666666","{6.4|6.5|7.0}","1.0","{54.0|59.0}","1.0","{01:47:25|01:47:26|01:47}","0.6666666666666666","{2011-12-11|2011-12-11|2011-12-12}",,,"0.6666666666666666","{17.844|17.986|17.986}","1.0","{2.0|2.0}"
"File1_5140+File2_16471","0.8571428571428571","1.0","{87.721|87.721}","0.0","{RUSSIA|RUSSIAN FEDERATION}","1.0","{6.7|6.7}","1.0","{10.0|10.0}","1.0","{01:03:25|01:03:25}","1.0","{2003-10-01|2003-10-01}",,,"1.0","{50.211|50.211}",,
"File1_5622+File2_20373+File3_1073","0.9583333333333333","1.0","{59.18|59.18|59.18}","0.6666666666666666","{IRAN|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF}","1.0","{6.5|6.7|7.0}","1.0","{12.0|12.0}","1.0","{18:41:59|18:41:59|18:42}","1.0","{2010-12-20|2010-12-20|2010-12-20}",,,"1.0","{28.412|28.412|28.412}","1.0","{7.0|7.0}"
"File1_4571+File2_8781","0.8571428571428571","1.0","{-142.786|-142.786}","0.0","{USA|UNITED STATES}","1.0","{7.9|7.9}","1.0","{10.0|10.0}","1.0","{19:23:19|19:23:20}","1.0","{1987-11-30|1987-11-30}",,,"1.0","{58.679|58.679}",,
"File1_4631+File2_9682+File2_9686+File2_9687+File3_0490","0.8375","0.8","{2.448|143.458|2.448|2.443|2.448}","0.8","{ALGERIA|JAPAN|ALGERIA|ALGERIA|ALGERIA}","1.0","{5.7|5.9|6.0|5.6|6.0}","0.5","{6.0|10.0|5.7|10.0}","0.8","{19:09:12|03:09:11|19:09:13|19:21:52|19:09}","1.0","{1989-10-29|1989-10-29|1989-10-29|1989-10-29|1989-10-29}",,,"0.8","{36.788|39.59|36.788|36.745|36.788}","1.0","{22.0}"
"File1_4375+File2_6005+File3_0398","1.0","1.0","{-102.084|-102.084|-102.084}","1.0","{MEXICO|MEXICO|MEXICO}","1.0","{7.3|7.3|7.0}","1.0","{33.0|33.0}","1.0","{03:22:15|03:22:16|03:22}","1.0","{1981-10-25|1981-10-25|1981-10-25}",,,"1.0","{18.048|18.048|18.048}","1.0","{3.0}"
"File1_4212+File2_3975","1.0","1.0","{-100.64|-100.635}","1.0","{MEXICO|MEXICO}","1.0","{6.4|6.4}","1.0","{45.0|45.0}","1.0","{14:26:39|14:26:39}","1.0","{1976-06-07|1976-06-07}",,,"1.0","{17.4|17.403}",,
