"RecordIDS","AverageConsistency","Latitude-Consistency","Latitude-Values","Country-Consistency","Country-Values","Magnitude-Consistency","Magnitude-Values","Depth-Consistency","Depth-Values","Time-Consistency","Time-Values","Date-Consistency","Date-Values","TotalDamages-Consistency","TotalDamages-Values","Longitude-Consistency","Longitude-Values","Deaths-Consistency","Deaths-Values"
"File1_5796+File2_22055+File3_1181","0.9166666666666666","1.0","{82.586|82.5864|82.5864}","1.0","{CHINA|CHINA|CHINA}","1.0","{6.9|6.9|7.0}","1.0","{10.0|10.0}","0.6666666666666666","{09:19:06|09:19:49|21:19}","0.6666666666666666","{2014-02-12|2014-02-12|2014-02-11}","1.0","{174.0}","1.0","{35.905|35.9053|35.9053}",,
"File1_5270+File2_17499","0.8571428571428571","1.0","{-112.615|-112.615}","0.0","{USA|UNITED STATES}","1.0","{5.6|5.6}","1.0","{13.0|12.9}","1.0","{04:08:37|04:08:37}","1.0","{2005-07-26|2005-07-26}",,,"1.0","{45.365|45.365}",,
"File1_4982+File2_14888","0.8571428571428571","1.0","{97.453|97.453}","0.0","{AUSTRALIA|COCOS (KEELING) ISLANDS}","1.0","{7.9|7.9}","1.0","{10.0|10.0}","1.0","{14:44:13|14:44:13}","1.0","{2000-06-18|2000-06-18}",,,"1.0","{-13.802|-13.802}",,
"File1_4639+File2_9850","1.0","1.0","{139.252|139.252}","1.0","{JAPAN|JAPAN}","1.0","{6.4|6.4}","1.0","{14.0|14.2}","1.0","{06:53:39|06:53:40}","1.0","{1990-02-20|1990-02-20}",,,"1.0","{34.706|34.706}",,
"File1_4110+File2_2406","0.5714285714285714","1.0","{152.9|152.932}","0.0","{SOLOMON SEA|PAPUA NEW GUINEA}","0.0","{7.1|7.5}","0.0","{10.0|20.0}","1.0","{23:44:05|23:44:09}","1.0","{1972-08-17|1972-08-17}",,,"1.0","{-6.0|-6.05}",,
"File1_4378+File2_6055","0.8571428571428571","1.0","{25.227|25.227}","1.0","{GREECE|GREECE}","0.0","{7.5|7.2}","1.0","{10.0|10.0}","1.0","{14:10:50|14:10:51}","1.0","{1981-12-19|1981-12-19}",,,"1.0","{39.243|39.243}",,
"File1_4647+File2_9910","0.8571428571428571","1.0","{147.596|147.596}","0.0","{USA TERRITORY|NORTHERN MARIANA ISLANDS}","1.0","{7.5|7.6}","1.0","{11.0|11.4}","1.0","{21:12:35|21:12:36}","1.0","{1990-04-05|1990-04-05}",,,"1.0","{15.125|15.125}",,
"File1_4805+File2_11977","1.0","1.0","{171.658|171.658}","1.0","{NEW ZEALAND|NEW ZEALAND}","1.0","{6.8|6.8}","1.0","{14.0|13.6}","1.0","{03:25:15|03:25:16}","1.0","{1994-06-18|1994-06-18}",,,"1.0","{-42.963|-42.963}",,
"File1_4477+File2_7379+File3_0342","0.9629629629629631","1.0","{-68.467|-68.467|-68.467}","1.0","{ARGENTINA|ARGENTINA|ARGENTINA}","0.6666666666666666","{6.9|6.2|7.0}","1.0","{5.0|5.0}","1.0","{03:06:57|03:06:58|03:06}","1.0","{1985-01-26|1985-01-26|1985-01-26}","1.0","{5.0}","1.0","{-33.053|-33.053|-33.053}","1.0","{6.0|6.0}"
"File1_4145+File2_2970","1.0","1.0","{166.9|166.896}","1.0","{VANUATU|VANUATU}","1.0","{7.2|7.2}","1.0","{47.0|47.0}","1.0","{00:19:31|00:19:31}","1.0","{1973-12-29|1973-12-29}",,,"1.0","{-15.12|-15.117}",,
"File1_5091+File2_16140+File2_16141+File3_0848","0.8214285714285714","0.75","{118.524|118.524|-170.253|118.524}","0.75","{INDONESIA|INDONESIA|UNITED STATES|INDONESIA}","1.0","{5.5|5.5|5.5|6.0}","1.0","{33.0|33.0|33.0}","0.75","{00:08:22|00:08:23|07:08:12|00:08}","0.75","{2003-01-23|2003-01-23|2003-01-26|2003-01-23}",,,"0.75","{-8.807|-8.807|52.242|-8.807}",,
"File1_5915+File2_23227+File3_1274","0.9629629629629629","1.0","{94.569|94.569|94.569}","0.6666666666666666","{MYANMAR (BURMA)|MYANMAR|MYANMAR}","1.0","{6.8|6.8|7.0}","1.0","{82.0|82.0}","1.0","{10:34:58|10:34:55}","1.0","{2016-08-24|2016-08-24|2016-08-24}","1.0","{10.0|10.0}","1.0","{20.923|20.9228|20.923}","1.0","{4.0|4.0}"
"File1_4344+File2_5622+File3_0323","1.0","1.0","{-80.017|-80.017|-80.017}","1.0","{ECUADOR|ECUADOR|ECUADOR}","1.0","{5.6|5.6|6.0}","1.0","{55.0|55.0}","1.0","{15:07:52|15:07:53|15:07}","1.0","{1980-08-18|1980-08-18|1980-08-18}","1.0","{5.0}","1.0","{-1.948|-1.948|-1.948}","1.0","{8.0|8.0}"
"File2_15743+File3_0815","1.0","1.0","{70.438|70.438}","1.0","{AFGHANISTAN|AFGHANISTAN}","1.0","{6.3|6.0}","1.0","{209.0}","1.0","{12:08:08|12:10}","1.0","{2002-03-03|2002-03-03}",,,"1.0","{36.429|36.429}","1.0","{150.0}"
"File1_5267+File2_17491","1.0","1.0","{139.982|139.982}","1.0","{JAPAN|JAPAN}","1.0","{5.9|5.9}","1.0","{61.0|61.0}","1.0","{07:34:56|07:34:57}","1.0","{2005-07-23|2005-07-23}",,,"1.0","{35.498|35.498}",,
"File1_4242+File2_4310","1.0","1.0","{160.348|160.348}","1.0","{SOLOMON ISLANDS|SOLOMON ISLANDS}","1.0","{7.6|7.5}","1.0","{19.0|19.0}","1.0","{23:42:50|23:42:51}","1.0","{1977-04-20|1977-04-20}",,,"1.0","{-9.89|-9.89}",,
"File1_5844+File2_22546","1.0","1.0","{168.148|168.1483}","1.0","{VANUATU|VANUATU}","1.0","{6.4|6.4}","1.0","{10.0|10.0}","1.0","{13:19:21|13:18:33}","1.0","{2015-02-19|2015-02-19}",,,"1.0","{-16.431|-16.4311}",,
"File1_5224+File1_5226+File2_17041+File2_17044+File3_0905","0.7777777777777778","0.6","{164.721|135.404|164.721|135.404|135.404}","0.6","{NEW ZEALAND|INDONESIA|NEW ZEALAND|INDONESIA|INDONESIA}","1.0","{7.1|7.1|7.1|7.1|7.0}","1.0","{10.0|10.0|10.0|10.0}","0.6","{20:26:23|02:25:03|20:26:24|02:25:03|02:25}","0.6","{2004-11-22|2004-11-26|2004-11-22|2004-11-26|2004-11-26}","1.0","{55.0|55.0}","0.6","{-46.676|-3.609|-46.676|-3.609|-3.609}","1.0","{32.0|32.0}"
"File1_5214+File2_16996","1.0","1.0","{26.622|26.622}","1.0","{ROMANIA|ROMANIA}","1.0","{5.8|5.9}","1.0","{96.0|95.8}","1.0","{20:34:36|20:34:37}","1.0","{2004-10-27|2004-10-27}",,,"1.0","{45.787|45.787}",,
"File1_5059+File2_15927+File3_0836","1.0","1.0","{121.333|121.333|121.333}","1.0","{INDONESIA|INDONESIA|INDONESIA}","1.0","{6.2|6.2|6.0}","1.0","{10.0|10.0}","1.0","{05:30:26|05:30:26}","1.0","{2002-08-15|2002-08-15|2002-08-15}",,,"1.0","{-1.196|-1.196|-1.196}","1.0","{48.0}"
"File2_15287+File3_0825","0.8571428571428571","1.0","{102.562|102.562}","1.0","{INDONESIA|INDONESIA}","1.0","{7.4|7.0}","1.0","{36.0}","1.0","{19:28:30|19:28}","0.0","{2001-02-13|2001-02-12}",,,"1.0","{-4.68|-4.68}",,
"File1_4835+File2_12655","1.0","1.0","{-98.597|-98.597}","1.0","{MEXICO|MEXICO}","1.0","{7.4|7.4}","1.0","{23.0|23.0}","1.0","{14:04:31|14:04:31}","1.0","{1995-09-14|1995-09-14}",,,"1.0","{16.779|16.779}","1.0","{3.0}"
"File1_4643+File1_4644+File2_9896+File2_9897+File2_9898","0.6285714285714287","0.6","{-84.808|72.942|-84.828|-84.808|72.942}","0.6","{COSTA RICA|TAJIKISTAN|COSTA RICA|COSTA RICA|AFGHANISTAN}","0.6","{7.0|6.3|6.4|7.3|6.3}","0.4","{22.0|33.0|26.6|22.2|33.0}","0.6","{13:22:55|14:17:18|13:16:07|13:22:56|14:17:19}","1.0","{1990-03-25|1990-03-25|1990-03-25|1990-03-25|1990-03-25}",,,"0.6","{9.919|37.034|9.814|9.919|37.034}",,
"File1_4505+File2_7803","0.8571428571428571","1.0","{166.516|166.516}","1.0","{VANUATU|VANUATU}","0.0","{7.6|7.1}","1.0","{43.0|43.0}","1.0","{01:13:22|01:13:22}","1.0","{1985-12-21|1985-12-21}",,,"1.0","{-13.966|-13.966}",,
"File1_5624+File2_20386","1.0","1.0","{167.947|167.947}","1.0","{VANUATU|VANUATU}","1.0","{7.3|7.3}","1.0","{16.0|16.0}","1.0","{13:16:37|13:16:37}","1.0","{2010-12-25|2010-12-25}",,,"1.0","{-19.702|-19.702}",,
"File1_5408+File2_18688+File2_18689","0.8571428571428571","1.0","{167.583|167.553|167.458}","1.0","{NEW ZEALAND|NEW ZEALAND|NEW ZEALAND}","0.6666666666666666","{6.8|6.8|6.1}","0.6666666666666666","{26.0|18.0|19.0}","0.6666666666666666","{12:29:36|12:29:35|21:28:24}","1.0","{2007-10-15|2007-10-15|2007-10-15}",,,"1.0","{-44.785|-44.796|-44.793}",,
"File1_4313+File2_5329+File2_5330","0.8333333333333334","0.6666666666666666","{-90.881|-90.881|-90.73}","1.0","{GUATEMALA|GUATEMALA|GUATEMALA}","1.0","{6.8|6.8|6.6}","0.6666666666666666","{58.0|58.0|65.0}","0.6666666666666666","{14:35:57|14:35:57|21:43:25}","1.0","{1979-10-27|1979-10-27|1979-10-27}",,,"0.6666666666666666","{13.833|13.833|13.778}","1.0","{4.0}"
"File1_3876+File2_0017","0.75","1.0","{178.55|178.715}","0.0","{USA|RUSSIAN FEDERATION}","1.0","{8.7|8.7}","0.0","{36.0|30.3}","1.0","{05:01:21|05:01:22}","1.0","{1965-02-04|1965-02-04}","1.0","{0.0}","1.0","{51.29|51.251}",,
"File1_5678+File2_21056+File3_1150","0.9583333333333333","1.0","{43.229|43.229|43.229}","1.0","{TURKEY|TURKEY|TURKEY}","1.0","{5.7|5.6|6.0}","1.0","{5.0|5.0}","0.6666666666666666","{19:23:33|19:23:33|18:30}","1.0","{2011-11-09|2011-11-09|2011-11-09}",,,"1.0","{38.429|38.429|38.429}","1.0","{40.0|40.0}"
"File1_5786+File2_21987+File3_1166","0.8333333333333333","1.0","{51.313|51.31|51.31}","0.6666666666666666","{IRAN|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF}","1.0","{5.7|5.8|6.0}","0.0","{4.0|8.0}","1.0","{13:51:51|13:51:34|13:51}","1.0","{2013-11-28|2013-11-28|2013-11-28}",,,"1.0","{29.275|29.32|29.32}","1.0","{8.0|8.0}"
"File1_5119+File2_16340","0.8571428571428571","1.0","{68.382|68.382}","0.0","{INDIAN OCEAN|MALDIVES}","1.0","{7.6|7.6}","1.0","{10.0|10.0}","1.0","{20:27:50|20:27:51}","1.0","{2003-07-15|2003-07-15}",,,"1.0","{-2.598|-2.598}",,
"File1_4962+File2_14615+File2_14618","0.7619047619047619","0.6666666666666666","{42.346|42.346|-71.221}","0.6666666666666666","{TURKEY|TURKEY|CHILE}","1.0","{5.7|5.7|5.7}","0.6666666666666666","{19.0|19.3|34.3}","1.0","{17:06:54|17:06:55|17:06:51}","0.6666666666666666","{1999-12-03|1999-12-03|1999-12-04}",,,"0.6666666666666666","{40.358|40.358|-28.5}",,
"File1_4065+File2_1854","0.2857142857142857","0.0","{55.6|55.762}","0.0","{IRAN|IRAN, ISLAMIC REPUBLIC OF}","0.0","{5.3|5.8}","0.0","{39.0|18.5}","1.0","{16:27:36|16:27:35}","1.0","{1971-02-14|1971-02-14}",,,"0.0","{36.6|36.565}",,
"File1_4073+File2_1967","0.7142857142857143","0.0","{-69.2|-68.938}","1.0","{CHILE|CHILE}","1.0","{6.3|6.3}","1.0","{93.0|91.7}","1.0","{21:00:43}","1.0","{1971-06-17|1971-06-17}",,,"0.0","{-25.5|-25.375}",,
"File1_4089+File2_2123","0.5714285714285714","0.0","{-73.3|-73.392}","1.0","{PERU|PERU}","1.0","{5.7|5.5}","0.0","{54.0|35.0}","1.0","{10:33:46|10:33:46}","1.0","{1971-10-15|1971-10-15}",,,"0.0","{-14.1|-14.266}",,
"File1_4119+File2_2575","0.7142857142857143","1.0","{-71.0|-71.151}","1.0","{CHILE|CHILE}","0.0","{5.4|6.1}","0.0","{60.0|45.0}","1.0","{04:51:01|04:51:01}","1.0","{1972-12-29|1972-12-29}",,,"1.0","{-30.6|-30.578}",,
"File1_5729+File2_21478","1.0","1.0","{-132.101|-132.101}","1.0","{CANADA|CANADA}","1.0","{7.7|7.8}","1.0","{14.0|14.0}","1.0","{03:04:08|03:04:09}","1.0","{2012-10-28|2012-10-28}",,,"1.0","{52.788|52.788}","1.0","{1.0}"
"File1_4783+File2_11706+File3_0521","0.8571428571428571","0.6666666666666666","{75.533|75.533|-10000.0}","1.0","{CHINA|CHINA|CHINA}","0.6666666666666666","{5.6|5.6|5.0}","1.0","{18.0|18.2}","1.0","{20:37:12|20:37:13}","1.0","{1993-11-30|1993-11-30|1993-11-30}",,,"0.6666666666666666","{39.263|39.263|-10000.0}",,
"File1_5128+File2_16381+File2_16382+File3_0881","0.8571428571428571","0.75","{20.605|20.605|20.573|20.605}","1.0","{GREECE|GREECE|GREECE|GREECE}","1.0","{6.3|6.3|5.5|6.0}","1.0","{10.0|10.0|10.0}","0.5","{05:14:54|05:14:55|16:18:02|06:15}","1.0","{2003-08-14|2003-08-14|2003-08-14|2003-08-14}",,,"0.75","{39.16|39.16|38.826|39.16}",,
"File1_5210+File2_16972","0.8571428571428571","1.0","{122.694|122.694}","0.0","{TAIWAN|JAPAN}","1.0","{6.6|6.7}","1.0","{94.0|94.0}","1.0","{04:08:50|04:08:50}","1.0","{2004-10-15|2004-10-15}",,,"1.0","{24.53|24.53}",,
"File1_4293+File2_5094","0.5714285714285714","1.0","{-141.671|-141.593}","0.0","{USA|UNITED STATES}","0.0","{7.5|7.1}","0.0","{18.0|15.0}","1.0","{21:27:08|21:27:06}","1.0","{1979-02-28|1979-02-28}",,,"1.0","{60.691|60.642}",,
"File1_4756+File2_11153","1.0","1.0","{-76.862|-76.862}","1.0","{COLOMBIA|COLOMBIA}","1.0","{7.4|7.2}","1.0","{10.0|10.0}","1.0","{15:11:59|15:11:59}","1.0","{1992-10-18|1992-10-18}",,,"1.0","{7.075|7.075}","1.0","{11.0}"
"File1_5263+File2_17470","1.0","1.0","{97.082|97.082}","1.0","{INDONESIA|INDONESIA}","1.0","{6.7|6.7}","1.0","{21.0|21.0}","1.0","{01:52:02|01:52:03}","1.0","{2005-07-05|2005-07-05}",,,"1.0","{1.819|1.819}",,
"File1_3999+File2_1136+File3_0255","0.9583333333333333","1.0","{57.9|57.899|57.9}","0.6666666666666666","{IRAN|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF}","1.0","{5.6|5.5|6.0}","1.0","{11.0|10.0}","1.0","{03:16|03:16:40|03:16}","1.0","{1969-01-03|1969-01-03|1969-01-03}",,,"1.0","{37.1|37.14|37.1}","1.0","{50.0}"
"File1_5897+File2_23053","0.875","1.0","{94.865|94.8654}","0.0","{MYANMAR (BURMA)|MYANMAR}","1.0","{6.9|6.9}","1.0","{136.0|136.0}","1.0","{13:55:08|13:55:18}","1.0","{2016-04-13|2016-04-13}",,,"1.0","{23.094|23.0944}","1.0","{2.0}"
"File1_4784+File2_11740+File2_11743+File3_0637","0.7619047619047619","0.75","{100.104|100.104|135.22|100.104}","0.75","{CHINA|CHINA|INDONESIA|CHINA}","1.0","{5.7|5.7|5.5|6.0}","0.6666666666666666","{8.0|8.2|16.6}","0.6666666666666666","{05:52:27|05:52:28|19:51:40}","0.75","{1994-01-03|1994-01-03|1994-01-04|1994-01-03}",,,"0.75","{36.028|36.028|-4.172|36.028}",,
"File1_5314+File2_17812","0.2857142857142857","0.0","{73.136|-177.116}","0.0","{PAKISTAN|TONGA}","0.0","{4.8|5.6}","1.0","{10.0|10.0}","0.0","{09:12:23|20:15:50}","1.0","{2006-04-04|2006-04-04}",,,"0.0","{34.6|-29.285}",,
"File1_5261+File2_17445+File3_0963+File3_0987","0.8518518518518517","1.0","{-69.197|-69.197|-69.197|-69.197}","1.0","{CHILE|CHILE|CHILE|CHILE}","1.0","{7.7|7.8|8.0|8.0}","1.0","{116.0|115.6}","0.6666666666666666","{22:44:33|22:44:34|21:44}","1.0","{2005-06-13|2005-06-13|2005-06-13|2005-06-13}","0.0","{5.0|0.0}","1.0","{-19.987|-19.987|-19.987|-19.987}","1.0","{11.0|11.0}"
"File1_4257+File2_4638+File3_0301","1.0","1.0","{139.259|139.259|139.259}","1.0","{JAPAN|JAPAN|JAPAN}","1.0","{6.6|6.6|7.0}","1.0","{14.0|14.0}","1.0","{03:24:39|03:24:39|03:24}","1.0","{1978-01-14|1978-01-14|1978-01-14}",,,"1.0","{34.809|34.809|34.809}","1.0","{25.0|25.0}"
"File1_4735+File2_10808+File3_0621","1.0","1.0","{39.605|39.605|39.605}","1.0","{TURKEY|TURKEY|TURKEY}","1.0","{6.9|6.7|7.0}","1.0","{27.0|27.2}","1.0","{17:18:39|17:18:40|17:19}","1.0","{1992-03-13|1992-03-13|1992-03-13}","1.0","{750.0|750.0}","1.0","{39.71|39.71|39.71}","1.0","{653.0|653.0}"
"File1_3884+File2_0105","0.7142857142857143","0.0","{22.4|22.405}","1.0","{GREECE|GREECE}","1.0","{7.1|6.8}","1.0","{78.0|75.0}","1.0","{09:47|09:47:31}","1.0","{1965-03-31|1965-03-31}",,,"0.0","{38.6|38.365}",,
"File1_4739+File2_10893+File3_0622","1.0","1.0","{72.429|72.429|72.429}","1.0","{KYRGYZSTAN|KYRGYZSTAN|KYRGYZSTAN}","1.0","{6.2|6.2|6.0}","1.0","{50.0|49.5}","1.0","{08:08:02|08:08:03}","1.0","{1992-05-15|1992-05-15|1992-05-15}","1.0","{31.0}","1.0","{41.019|41.019|41.019}","1.0","{4.0|9.0}"
"File1_5579+File2_19978+File2_19982+File3_1093","0.7916666666666666","0.75","{120.795|120.795|-73.223|120.795}","0.75","{TAIWAN|TAIWAN|CHILE|TAIWAN}","1.0","{6.3|6.3|6.1|6.0}","0.6666666666666666","{21.0|21.0|29.9}","0.6666666666666666","{00:18:51|00:18:51|09:19:36}","0.75","{2010-03-04|2010-03-04|2010-03-05|2010-03-04}","1.0","{1000.0|1000.0}","0.75","{22.918|22.918|-36.631|22.918}",,
"File1_4762+File2_11355","0.875","1.0","{-178.252|-178.252}","0.0","{WALLIS AND FUTUNA (FRENCH TERRITORY)|WALLIS AND FUTUNA}","1.0","{6.4|6.4}","1.0","{10.0|9.6}","1.0","{14:01:35|14:01:35}","1.0","{1993-03-12|1993-03-12}",,,"1.0","{-14.385|-14.385}","1.0","{5.0}"
"File1_4200+File2_3790","0.8571428571428571","1.0","{149.123|149.123}","0.0","{RUSSIA|RUSSIAN FEDERATION}","1.0","{7.0|7.0}","1.0","{41.0|41.0}","1.0","{10:05:24|10:05:24}","1.0","{1976-01-21|1976-01-21}",,,"1.0","{44.915|44.915}",,
"File1_4353+File2_5707+File3_0386","0.8518518518518519","1.0","{15.366|15.366|15.366}","1.0","{ITALY|ITALY|ITALY}","1.0","{6.9|6.9|7.0}","0.0","{20.0|10.0}","0.6666666666666666","{18:34:53|18:34:54|17:34}","1.0","{1980-11-23|1980-11-23|1980-11-23}","1.0","{20000.0|20000.0}","1.0","{40.914|40.914|40.914}","1.0","{4689.0|4689.0}"
"File1_4758+File2_11292+File3_0582","1.0","1.0","{143.691|143.691|143.691}","1.0","{JAPAN|JAPAN|JAPAN}","1.0","{7.6|7.6|8.0}","1.0","{102.0|102.2}","1.0","{11:06:05|11:06:06}","1.0","{1993-01-15|1993-01-15|1993-01-15}","1.0","{358.0|358.0}","1.0","{43.3|43.3|43.3}","1.0","{2.0|2.0}"
"File1_5209+File2_16958","0.8571428571428571","1.0","{54.477|54.477}","0.0","{IRAN|IRAN, ISLAMIC REPUBLIC OF}","1.0","{5.6|5.6}","1.0","{35.0|34.6}","1.0","{21:46:20|21:46:20}","1.0","{2004-10-07|2004-10-07}",,,"1.0","{37.125|37.125}",,
"File1_4865+File2_13342","1.0","1.0","{131.314|131.314}","1.0","{JAPAN|JAPAN}","1.0","{6.7|6.7}","1.0","{49.0|49.2}","1.0","{22:17:59|22:17:59}","1.0","{1996-12-02|1996-12-02}",,,"1.0","{31.789|31.789}",,
"File1_4965+File2_14652+File2_14655+File3_0757","0.8611111111111112","0.75","{-1.281|-1.281|147.056|-1.281}","0.75","{ALGERIA|ALGERIA|AUSTRALIA|ALGERIA}","1.0","{5.6|5.6|6.1|6.0}","1.0","{10.0|10.0|10.0}","0.75","{17:36:56|17:36:56|22:35:39|17:37}","0.75","{1999-12-22|1999-12-22|1999-12-24|1999-12-22}","1.0","{60.0|60.0}","0.75","{35.321|35.321|-56.369|35.321}","1.0","{24.0|22.0}"
"File1_5549+File2_19706+File2_19713+File2_19714","0.42857142857142855","0.0","{-77.817|166.177|165.978|166.503}","0.5","{ECUADOR|SOLOMON ISLANDS|SOLOMON ISLANDS|VANUATU}","0.75","{5.4|5.8|5.6|5.6}","1.0","{35.0|35.0|35.0|35.0}","0.0","{18:11:39|02:12:39|09:14:42|13:12:32}","0.75","{2009-10-09|2009-10-08|2009-10-09|2009-10-09}",,,"0.0","{-0.962|-11.66|-11.715|-13.357}",,
"File1_5911+File2_23209+File3_1229","0.75","0.6666666666666666","{-71.68|-72.0092|-71.68}","1.0","{PERU|PERU|PERU}","0.6666666666666666","{5.5|5.5|5.0}","0.0","{8.0|20.0}","1.0","{02:58|02:59:01|02:58}","1.0","{2016-08-15|2016-08-15|2016-08-15}",,,"0.6666666666666666","{-15.64|-15.6542|-15.64}","1.0","{9.0|4.0}"
"File1_5008+File2_15321+File3_0856","0.9629629629629629","1.0","{-122.727|-122.7266667|-122.7266667}","0.6666666666666666","{USA|UNITED STATES|UNITED STATES}","1.0","{6.8|6.8|7.0}","1.0","{52.0|51.798}","1.0","{18:54:32|18:54:33|18:54}","1.0","{2001-02-28|2001-02-28|2001-02-28}","1.0","{2000.0|2000.0}","1.0","{47.149|47.149|47.149}","1.0","{1.0|1.0}"
"File2_15418+File2_15419+File2_15420+File3_0850","0.8809523809523808","0.75","{146.388|146.557|146.41|146.388}","1.0","{PAPUA NEW GUINEA|PAPUA NEW GUINEA|PAPUA NEW GUINEA|PAPUA NEW GUINEA}","1.0","{6.4|5.5|6.0|6.0}","1.0","{10.0|10.0|10.0}","0.6666666666666666","{09:00:05|09:20:12|15:13:58}","1.0","{2001-06-05|2001-06-05|2001-06-05|2001-06-05}",,,"0.75","{-6.884|-6.731|-6.815|-6.884}",,
"File1_5674+File2_21044+File3_1109","0.875","1.0","{82.437|82.437|82.437}","1.0","{CHINA|CHINA|CHINA}","1.0","{5.6|5.6|6.0}","1.0","{28.0|28.0}","1.0","{00:21:28|00:21:28|00:21}","1.0","{2011-11-01|2011-11-01|2011-11-01}","0.0","{10.0|56.0}","1.0","{43.648|43.648|43.648}",,
"File1_5015+File2_15474","1.0","1.0","{-73.987|-73.987}","1.0","{PERU|PERU}","1.0","{6.6|6.6}","1.0","{62.0|62.0}","1.0","{13:53:48|13:53:48}","1.0","{2001-07-05|2001-07-05}",,,"1.0","{-16.086|-16.086}",,
"File1_5925+File2_23314+File3_1272","0.8888888888888888","1.0","{13.11|13.0961|13.088}","1.0","{ITALY|ITALY|ITALY}","1.0","{6.6|6.6|7.0}","0.0","{9.0|8.0}","1.0","{06:40:05|06:40:19|06:40}","1.0","{2016-10-30|2016-10-30|2016-10-30}","1.0","{200.0|200.0}","1.0","{42.84|42.8621|42.855}","1.0","{2.0}"
"File1_4909+File2_13948+File3_0711","0.9583333333333333","1.0","{59.976|59.976|59.976}","0.6666666666666666","{IRAN|IRAN, ISLAMIC REPUBLIC OF|IRAN, ISLAMIC REPUBLIC OF}","1.0","{5.8|5.8|6.0}","1.0","{33.0|33.0}","1.0","{15:00:53|15:00:53|15:53}","1.0","{1998-04-10|1998-04-10|1998-04-10}",,,"1.0","{32.457|32.457|32.457}","1.0","{12.0|12.0}"
"File1_4418+File2_6539+File3_0419","0.9629629629629631","1.0","{-78.103|-78.103|-78.103}","1.0","{PERU|PERU|PERU}","0.6666666666666666","{6.5|7.0|5.0}","1.0","{104.0|104.2}","1.0","{12:07:54|12:07:55|12:07}","1.0","{1983-04-12|1983-04-12|1983-04-12}","1.0","{0.0|0.0}","1.0","{-4.843|-4.843|-4.843}","1.0","{10.0}"
"File1_5899+File2_23067+File3_1201","0.5925925925925926","0.6666666666666666","{-80.16|-79.9218|-79.92}","1.0","{ECUADOR|ECUADOR|ECUADOR}","1.0","{7.8|7.8|8.0}","0.0","{17.0|20.59}","1.0","{23:58|23:58:37|23:58}","1.0","{2016-04-16|2016-04-16|2016-04-16}","0.0","{3300.0|2000.0}","0.6666666666666666","{0.35|0.3819|0.382}","0.0","{663.0|672.0}"
"File1_5207+File2_16946","0.8571428571428571","1.0","{-120.364|-120.366}","0.0","{USA|UNITED STATES}","1.0","{6.0|5.97}","1.0","{9.0|8.136}","1.0","{17:15:24|17:15:24}","1.0","{2004-09-28|2004-09-28}",,,"1.0","{35.819|35.8181667}",,
"File1_5818+File2_22266+File2_22267","0.8095238095238094","0.6666666666666666","{-177.725|-177.7247|-177.5159}","0.6666666666666666","{NEW ZEALAND|TONGA|TONGA}","1.0","{6.9|6.9|6.5}","0.6666666666666666","{20.0|20.0|10.0}","1.0","{19:20:34|19:19:16|19:21:46}","1.0","{2014-06-23|2014-06-23|2014-06-23}",,,"0.6666666666666666","{-29.977|-29.9772|-29.9379}",,
"File1_5821+File2_22304","1.0","1.0","{142.453|142.4525}","1.0","{JAPAN|JAPAN}","1.0","{6.5|6.5}","1.0","{20.0|20.0}","1.0","{19:23:22|19:22:01}","1.0","{2014-07-11|2014-07-11}",,,"1.0","{37.005|37.0052}",,
"File1_4210+File2_3960","1.0","1.0","{98.953|98.953}","1.0","{CHINA|CHINA}","1.0","{7.3|6.9}","1.0","{8.0|8.0}","1.0","{12:23:18|12:23:19}","1.0","{1976-05-29|1976-05-29}",,,"1.0","{24.57|24.57}",,
"File1_4396+File2_6315","0.875","1.0","{-89.121|-89.121}","1.0","{HONDURAS|HONDURAS}","0.0","{5.1|5.5}","1.0","{12.0|12.0}","1.0","{05:50:32|05:50:32}","1.0","{1982-09-29|1982-09-29}",,,"1.0","{14.487|14.487}","1.0","{3.0}"
"File1_4608+File2_9423+File3_0493","0.925925925925926","1.0","{99.195|99.195|99.195}","1.0","{CHINA|CHINA|CHINA}","1.0","{6.2|6.4|6.0}","1.0","{13.0|13.3}","0.6666666666666666","{20:34:08|20:34:09|21:34}","0.6666666666666666","{1989-04-15|1989-04-15|1989-04-14}","1.0","{164.0|164.0}","1.0","{29.987|29.987|29.987}","1.0","{11.0|8.0}"
"File1_4574+File2_8815+File3_0489","1.0","1.0","{19.63|19.63|19.63}","1.0","{ALBANIA|ALBANIA|ALBANIA}","1.0","{5.8|5.9|6.0}","1.0","{24.0|24.0}","1.0","{01:02:46|01:02:47|01:00}","1.0","{1988-01-09|1988-01-09|1988-01-09}",,,"1.0","{41.246|41.246|41.246}",,
"File1_4197+File2_3768+File3_0283","1.0","1.0","{-16.58|-16.582|-16.582}","1.0","{ICELAND|ICELAND|ICELAND}","1.0","{6.4|6.4|6.0}","1.0","{33.0|33.0}","1.0","{13:29:19|13:29:19|13:29}","1.0","{1976-01-13|1976-01-13|1976-01-13}",,,"1.0","{66.16|66.157|66.157}","1.0","{1.0}"
