"Blocking Key Value","Frequency"
"1972","10088"
"1969","10013"
"1965","8814"
"1982","8650"
"1966","7722"
"1974","7581"
"1981","7062"
"1967","6885"
"2002","26640"
"2014","26400"
"2016","24388"
"2013","23972"
"2012","21805"
"2015","21408"
"2000","20461"
"1983","20385"
"1995","18321"
"1991","18018"
"2004","44538"
"2011","42780"
"2007","40736"
"2008","39116"
"2003","34920"
"2010","34720"
"2005","31980"
"2009","31537"
"2006","30988"
"1990","26928"
"1989","16800"
"1987","16665"
"1994","16256"
"1986","16005"
"1976","15995"
"1999","15610"
"1997","15504"
"1988","14670"
"1992","14391"
"1985","14280"
"1978","13530"
"1984","13496"
"1971","12738"
"1975","12360"
"1968","12200"
"1993","12116"
"1979","12104"
"1998","12028"
"1980","11484"
"2001","11075"
"1970","10695"
"1977","10625"
"1973","10426"
"1996","10279"
